11787	13239
11787	11787
11787	12370
11787	11718
11787	13240
11787	13241
11787	13242
12370	1908
12370	13239
12370	11787
12370	12370
12370	11718
12370	13240
12370	13241
12370	13242
11718	1908
11718	13239
11718	11787
11718	12370
11718	11718
11718	13240
11718	13241
11718	13242
13240	1908
13240	13239
13240	11787
13240	12370
13240	11718
13240	13240
13240	13241
13240	13242
13241	1908
13241	13239
13241	11787
13241	12370
13241	11718
13241	13240
13241	13241
13241	13242
12527	12527
12527	10055
13422	13422
13422	9812
13427	13427
13427	10138
5044	5044
5044	9447
10971	10971
10971	11225
10309	10309
10309	10379
11216	11216
11216	13004
13603	13603
13603	13604
13647	13647
13647	13648
13647	12827
13648	13647
13648	13648
13648	12827
13654	13654
13654	9622
1793	1793
1793	10407
13681	13681
13681	11901
12009	12009
12009	9416
13806	13806
13806	1254
13806	13498
1254	13806
1254	1254
1254	13498
13850	13850
13850	11699
13850	9641
13850	10336
11699	13850
11699	11699
11699	9641
11699	10336
9641	13850
9641	11699
9641	9641
9641	10336
13924	13924
13924	11055
11575	11575
11575	10449
9584	9584
9584	9416
14030	14030
14030	9723
13972	13972
13972	9617
14145	14145
14145	14149
15218	15218
15218	15219
10090	10090
10090	15226
10090	15227
15226	10090
15226	15226
15226	15227
15242	15242
15242	15243
9411	9411
9411	15267
9411	15241
15267	9411
15267	15267
15267	15241
15289	15289
15289	11070
15289	15290
11070	15289
11070	11070
11070	15290
15304	15304
15304	15305
15310	15310
15310	10707
15315	15315
15315	15241
15320	15320
15320	15321
15326	15326
15326	15327
15330	15330
15330	15331
15336	15336
15336	15337
15296	15296
15296	15241
15359	15359
15359	15254
15359	15252
15254	15359
15254	15254
15254	15252
15430	15430
15430	15431
15430	15432
15431	15430
15431	15431
15431	15432
4359	4359
4359	1680
15527	15527
15527	15423
15527	15528
15527	15392
15423	15527
15423	15423
15423	15528
15423	15392
15528	15527
15528	15423
15528	15528
15528	15392
15604	15604
15604	15605
15604	15606
15604	15538
15605	15604
15605	15605
15605	15606
15605	15538
15606	15604
15606	15605
15606	15606
15606	15538
15384	15384
15384	15613
15614	15614
15614	15408
15665	15665
15665	15666
15683	15683
15683	15684
15683	15430
15683	15533
15683	15381
15684	15683
15684	15684
15684	15430
15684	15533
15684	15381
15430	15683
15430	15684
15430	15430
15430	15533
15430	15381
15533	15683
15533	15684
15533	15430
15533	15533
15533	15381
15712	15712
15712	15714
15777	15777
15777	15778
15493	15493
15493	15815
15864	15864
15864	15865
15878	15878
15878	15879
15884	15884
15884	15823
15885	15885
15885	15887
15885	15587
15887	15885
15887	15887
15887	15587
15918	15918
15918	15917
9551	9551
9551	20351
20352	20352
20352	14712
20360	20360
20360	20361
20360	20362
20361	20360
20361	20361
20361	20362
20375	20375
20375	20380
20375	20308
20375	12477
20375	20381
20375	20382
20380	20375
20380	20380
20380	20308
20380	12477
20380	20381
20380	20382
20308	20375
20308	20380
20308	20308
20308	12477
20308	20381
20308	20382
12477	20375
12477	20380
12477	20308
12477	12477
12477	20381
12477	20382
20381	20375
20381	20380
20381	20308
20381	12477
20381	20381
20381	20382
20224	20224
20224	1622
11235	11235
11235	20671
11235	10288
20671	11235
20671	20671
20671	10288
20276	20276
20276	20630
20276	9556
20276	20275
20276	20724
20276	10939
20276	20725
20630	20276
20630	20630
20630	9556
20630	20275
20630	20724
20630	10939
20630	20725
9556	20276
9556	20630
9556	9556
9556	20275
9556	20724
9556	10939
9556	20725
20275	20276
20275	20630
20275	9556
20275	20275
20275	20724
20275	10939
20275	20725
20724	20276
20724	20630
20724	9556
20724	20275
20724	20724
20724	10939
20724	20725
10939	20276
10939	20630
10939	9556
10939	20275
10939	20724
10939	10939
10939	20725
12539	12539
12539	10941
21123	21123
21123	21124
21123	21125
21124	21123
21124	21124
21124	21125
21136	21136
21136	10942
21136	13034
10942	21136
10942	10942
10942	13034
20652	20652
20652	18518
20652	20631
18518	20652
18518	18518
18518	20631
11474	11474
11474	21320
11474	21008
21320	11474
21320	21320
21320	21008
21331	21331
21331	21332
10941	10941
10941	12535
10941	12537
12535	10941
12535	12535
12535	12537
21037	21037
21037	9684
10942	10942
10942	9593
20670	20670
20670	11240
20670	20669
11240	20670
11240	11240
11240	20669
270	270
270	21756
21800	21800
21800	21801
21800	15735
21800	21802
21800	15731
21801	21800
21801	21801
21801	15735
21801	21802
21801	15731
15735	21800
15735	21801
15735	15735
15735	21802
15735	15731
21802	21800
21802	21801
21802	15735
21802	21802
21802	15731
21957	21957
21957	21958
21957	21959
21958	21957
21958	21958
21958	21959
14010	14010
14010	11959
22597	22597
22597	22598
22597	22599
22597	22600
22598	22597
22598	22598
22598	22599
22598	22600
22599	22597
22599	22598
22599	22599
22599	22600
15536	15536
15536	22673
15241	15241
15241	22742
22768	22768
22768	22769
22768	22770
22768	22771
22768	22772
22768	22773
22768	22774
22769	22768
22769	22769
22769	22770
22769	22771
22769	22772
22769	22773
22769	22774
22770	22768
22770	22769
22770	22770
22770	22771
22770	22772
22770	22773
22770	22774
22771	22768
22771	22769
22771	22770
22771	22771
22771	22772
22771	22773
22771	22774
22772	22768
22772	22769
22772	22770
22772	22771
22772	22772
22772	22773
22772	22774
22773	22768
22773	22769
22773	22770
22773	22771
22773	22772
22773	22773
22773	22774
22782	22782
22782	22783
22801	22801
22801	15700
22824	22824
22824	22825
25350	25350
25350	25095
25368	25368
25368	25369
25392	25392
25392	25393
25087	25087
25087	25396
25087	343
25396	25087
25396	25396
25396	343
25416	25416
25416	1325
25416	25417
1325	25416
1325	1325
1325	25417
25420	25420
25420	25361
25420	1325
25361	25420
25361	25361
25361	1325
25424	25424
25424	24638
24913	24913
24913	25376
1849	1849
1849	25426
1849	25427
1849	25428
25426	1849
25426	25426
25426	25427
25426	25428
25427	1849
25427	25426
25427	25427
25427	25428
25324	25324
25324	25364
25324	14764
25324	24981
25324	25326
25364	25324
25364	25364
25364	14764
25364	24981
25364	25326
14764	25324
14764	25364
14764	14764
14764	24981
14764	25326
24981	25324
24981	25364
24981	14764
24981	24981
24981	25326
25445	25445
25445	25446
25156	25156
25156	25458
25372	25372
25372	25357
25481	25481
25481	25352
173	173
173	18046
173	25414
18046	173
18046	18046
18046	25414
25482	25482
25482	788
25068	25068
25068	24665
25068	4023
24665	25068
24665	24665
24665	4023
25503	25503
25503	25504
30168	30168
30168	30169
30168	30170
30169	30168
30169	30169
30169	30170
17218	17218
17218	17216
2236	2236
2236	17397
2236	30173
2236	30174
17397	2236
17397	17397
17397	30173
17397	30174
30173	2236
30173	17397
30173	30173
30173	30174
30177	30177
30177	30178
30177	3399
30178	30177
30178	30178
30178	3399
30179	30179
